combination,dataset_id,model,dataset
EBM_dataset_12_mfeat-factors,12,EBM,dataset_12_mfeat-factors
AutoSklearn_dataset_1464_blood-transfusion-service-center,1464,AutoSklearn,dataset_1464_blood-transfusion-service-center
AutoGluon_dataset_1464_blood-transfusion-service-center,1464,AutoGluon,dataset_1464_blood-transfusion-service-center
EBM_dataset_1468_cnae-9,1468,EBM,dataset_1468_cnae-9
EBM_dataset_1501_semeion,1501,EBM,dataset_1501_semeion
AutoSklearn_dataset_307_vowel,307,AutoSklearn,dataset_307_vowel
AutoSklearn_dataset_40966_MiceProtein,40966,AutoSklearn,dataset_40966_MiceProtein
AutoSklearn_dataset_40975_car,40975,AutoSklearn,dataset_40975_car
AutoSklearn_dataset_40982_steel-plates-fault,40982,AutoSklearn,dataset_40982_steel-plates-fault
AutoGluon_dataset_40994_climate-model-simulation-crashes,40994,AutoGluon,dataset_40994_climate-model-simulation-crashes
AutoSklearn_dataset_458_analcatdata_authorship,458,AutoSklearn,dataset_458_analcatdata_authorship
AutoSklearn_dataset_469_analcatdata_dmft,469,AutoSklearn,dataset_469_analcatdata_dmft
AutoSklearn_dataset_54_vehicle,54,AutoSklearn,dataset_54_vehicle
