metric,model,mean_value,std_value,mean_rank,std_rank,best_rank,worst_rank
accuracy,AutoGluon,0.660929988728998,0.15074162361295088,2.6666666666666665,2.081665999466133,1.0,5.0
accuracy,AutoSklearn,0.5082204922544625,0.03941671002557109,6.0,0.0,6.0,6.0
accuracy,CatBoost,0.7561731016225001,0.12370362404939977,1.5,0.5,1.0,2.0
accuracy,EBM,0.7301984220597101,0.14166161832402843,3.0,0.0,3.0,3.0
accuracy,LGBM,0.7256564703415376,0.14467319963868144,3.3333333333333335,1.607275126832159,1.5,4.5
accuracy,XGBoost,0.7109239600534717,0.14228796626897952,4.5,0.5,4.0,5.0
auc_ovo,AutoGluon,0.6410356562763145,0.11374337916069314,2.6666666666666665,2.081665999466133,1.0,5.0
auc_ovo,AutoSklearn,0.5,0.0,6.0,0.0,6.0,6.0
auc_ovo,CatBoost,0.7394246319557142,0.1699752234731555,2.3333333333333335,1.1547005383792515,1.0,3.0
auc_ovo,EBM,0.7426587898997538,0.1580436875026307,2.0,1.0,1.0,3.0
auc_ovo,LGBM,0.7044330304647062,0.18016505444579842,3.6666666666666665,1.5275252316519465,2.0,5.0
auc_ovo,XGBoost,0.689266660248241,0.17127152679315996,4.333333333333333,0.5773502691896258,4.0,5.0
cross_entropy,AutoGluon,0.6766575823231546,0.26538346424347764,2.6666666666666665,2.886751345948129,1.0,6.0
cross_entropy,AutoSklearn,0.6931471805599454,7.850462293418876e-17,4.333333333333333,1.1547005383792517,3.0,5.0
cross_entropy,CatBoost,0.5080089633923425,0.14579864211574822,1.6666666666666667,0.5773502691896257,1.0,2.0
cross_entropy,EBM,0.5248200880409372,0.1472499815456263,3.0,1.0,2.0,4.0
cross_entropy,LGBM,0.8370422987024382,0.38601962873960977,5.0,1.7320508075688772,3.0,6.0
cross_entropy,XGBoost,0.7631908135176193,0.3395934156521243,4.333333333333333,0.5773502691896258,4.0,5.0
total_time,AutoGluon,283.5691127513334,35.83406392183671,4.333333333333333,2.0816659994661326,2.0,6.0
total_time,AutoSklearn,276.47523258766597,7.212420699454114,4.0,0.0,4.0,4.0
total_time,CatBoost,93.44821096799994,34.6590723934851,1.0,0.0,1.0,1.0
total_time,EBM,374.7496964476668,182.12583522478133,4.0,1.7320508075688772,3.0,6.0
total_time,LGBM,258.1400966626667,28.431665273229946,3.3333333333333335,1.5275252316519468,2.0,5.0
total_time,XGBoost,284.82597518966674,62.59476159658295,4.333333333333333,2.0816659994661326,2.0,6.0
