,Best_Model
dataset_1049_pc4,XGBoost
dataset_1050_pc3,LightGBM
dataset_1063_kc2,AutoGluon
dataset_1068_pc1,AutoSklearn
dataset_11_balance-scale,AutoSklearn
dataset_12_mfeat-factors,EBM
dataset_1462_banknote-authentication,EBM
dataset_1464_blood-transfusion-service-center,CatBoost
dataset_1468_cnae-9,AutoSklearn
dataset_1480_ilpd,CatBoost
dataset_1494_qsar-biodeg,CatBoost
dataset_1501_semeion,EBM
dataset_1510_wdbc,EBM
dataset_15_breast-w,CatBoost
dataset_188_eucalyptus,LightGBM
dataset_23381_dresses-sales,EBM
dataset_23_cmc,CatBoost
dataset_29_credit-approval,CatBoost
dataset_307_vowel,LightGBM
dataset_31_credit-g,CatBoost
dataset_37_diabetes,CatBoost
dataset_40966_MiceProtein,AutoSklearn
dataset_40975_car,AutoSklearn
dataset_40982_steel-plates-fault,LightGBM
dataset_40994_climate-model-simulation-crashes,EBM
dataset_458_analcatdata_authorship,EBM
dataset_469_analcatdata_dmft,CatBoost
dataset_50_tic-tac-toe,CatBoost
dataset_54_vehicle,AutoSklearn
dataset_6332_cylinder-bands,CatBoost
