,AutoGluon,AutoSklearn,CatBoost,EBM,LightGBM,XGBoost
dataset_1049_pc4,0.8990196078431373,0.9127450980392157,0.9127450980392157,0.9117647058823529,0.9107843137254902,0.9156862745098039
dataset_1050_pc3,0.8976414896736626,0.8985631100498512,0.8994595953248712,0.8976373004901343,0.9022076997193247,0.897649868040719
dataset_1063_kc2,0.8575342465753424,0.8465753424657534,0.8493150684931507,0.854794520547945,0.8383561643835616,0.8465753424657534
dataset_1068_pc1,0.9213895781637718,0.944582299421009,0.9342845326716296,0.9291232423490488,0.9368486352357321,0.921356492969396
dataset_11_balance-scale,0.8741379310344828,0.9839864158829676,0.9107366771159875,0.9588296760710554,0.8740334378265413,0.9037878787878787
dataset_12_mfeat-factors,0.9714285714285713,0.9742857142857142,0.9685714285714285,0.9757142857142856,0.9735714285714285,0.9614285714285714
dataset_1462_banknote-authentication,0.996875,0.99375,0.9979166666666666,1.0,0.9947916666666667,0.9947916666666666
dataset_1464_blood-transfusion-service-center,0.782069597069597,0.7954761904761904,0.7973992673992674,0.7801648351648351,0.7457509157509158,0.7533516483516484
dataset_1468_cnae-9,0.8848989194841408,0.9285813872429417,0.8941791565005228,0.8997325313852862,0.8584785639595678,0.8703816660857442
dataset_1480_ilpd,0.7157181571815718,0.6959650707618187,0.7402288467329117,0.7351099066546221,0.7351400180668474,0.7229448961156277
dataset_1494_qsar-biodeg,0.8468652325795183,0.8698933627505054,0.8766317337745908,0.8711987497701784,0.8698749770178342,0.8644787644787646
dataset_1501_semeion,0.9408071748878925,0.936322869955157,0.9390134529147982,0.9470852017937219,0.9354260089686098,0.9174887892376683
dataset_1510_wdbc,0.9546518987341772,0.9597468354430381,0.9672151898734178,0.9722784810126583,0.9621835443037975,0.9597468354430381
dataset_15_breast-w,0.965243004418262,0.9693246370713233,0.9774879023774459,0.9754470860509151,0.9672838207447928,0.9693456764148959
dataset_188_eucalyptus,0.6194174757281554,0.6330097087378641,0.6485436893203884,0.6524271844660194,0.6563106796116506,0.6388349514563108
dataset_23381_dresses-sales,0.5599999999999999,0.5885714285714285,0.5999999999999999,0.6085714285714287,0.5257142857142857,0.5514285714285714
dataset_23_cmc,0.5266169504244642,0.5537920360208245,0.5625533511561371,0.549931991932836,0.5169175929834435,0.5198489751887809
dataset_29_credit-approval,0.8758161512027491,0.8779209621993127,0.8882946735395189,0.8737328178694158,0.8757946735395189,0.8758161512027491
dataset_307_vowel,0.9162548222291733,0.9235741841309559,0.9177353769158586,0.8787613387550828,0.9249609008445419,0.8816911688040872
dataset_31_credit-g,0.7371428571428572,0.7442857142857143,0.7714285714285715,0.7614285714285713,0.7528571428571429,0.7414285714285714
dataset_37_diabetes,0.7505192107995846,0.7598303911388022,0.7878331602630668,0.7747663551401869,0.7394946348217376,0.7301142263759086
dataset_40966_MiceProtein,0.9630010456605088,0.980167305681422,0.9682467758800974,0.9788428023701637,0.9722289996514464,0.9458086441268735
dataset_40975_car,0.950361784575289,0.9710332293131237,0.926374267000446,0.9247385206268646,0.9701964953190906,0.959459552141559
dataset_40982_steel-plates-fault,0.7790726069025395,0.7569866507488604,0.7776155849793792,0.7599386802691557,0.7975146516171043,0.7930811808118081
dataset_40994_climate-model-simulation-crashes,0.9233684210526315,0.9285964912280701,0.9312280701754385,0.9444561403508771,0.9312982456140351,0.9392982456140351
dataset_458_analcatdata_authorship,0.9931913660727221,0.9949152542372882,0.9932058525278865,0.9966101694915255,0.9897870491090831,0.9863682456902797
dataset_469_analcatdata_dmft,0.1958011583011583,0.18836872586872586,0.2191119691119691,0.21544401544401542,0.19208494208494206,0.20284749034749033
dataset_50_tic-tac-toe,0.9805970149253731,0.9850746268656717,0.991044776119403,0.9701492537313433,0.9880597014925374,0.9895522388059701
dataset_54_vehicle,0.7397521720552627,0.8074348383421166,0.736419313488107,0.7499359065660163,0.7719270759151119,0.7634667426292551
dataset_6332_cylinder-bands,0.7618947368421052,0.7644561403508773,0.8147368421052631,0.7829824561403509,0.7937543859649122,0.7804561403508773
